elapsed;label;responseCode;responseMessage;success;bytes;URL
79;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
94;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
134;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
125;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
96;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
142;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
104;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
87;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
117;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
153;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
161;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
163;GET - Discount;200;OK;true;155;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
170;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
171;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
169;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
167;GET - Interest;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
175;GET - Discount;200;OK;true;154;http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
